index,dirty_word
1337,南蠻子
1338,博彩
1339,博白县
1340,博訊
1341,博讯
1342,博讯网
1343,卡斯特罗
1344,卡通
1345,卢跃刚
1346,卫星器
1347,卫星接收器
1348,卫星追踪
1349,卫星遭黑客攻击
1350,卫星锅
1351,卫生巾
1352,卫生部
1353,印尼伊斯兰祈祷团
1354,印尼依斯兰祈祷团
1355,印章
1356,卵
1357,卵子
1358,卵蛋
1359,厅房公主
1360,压缩气体
1361,压迫
1362,厙
1363,原子弹
1364,原子能机构
1365,厦门PX
1366,厦门大游行
1367,去他妈
1368,去你妈
1369,去你妈的
1370,去你媽的
1371,去你的
1372,去她妈
1373,去妳妈
1374,去妳的
1375,去死
1376,参事室
1377,及川奈央
1378,友好的魯德
1379,双乳
1380,双十节
1381,双峰
1382,双峰微颤
1383,双性恋
1384,双沟
1385,双腿叉开
1386,双腿间的禁地
1387,双鞋的故事
1388,双飞
1389,反中游行
1390,反人类
1391,反人類
1392,反党
1393,反共
1394,反动
1395,反动2
1396,反华
1397,反反复复
1398,反右题材
1399,反国家
1400,反对党
1401,反封鎖
1402,反封鎖技術
1403,反封锁
1404,反封锁技术
1405,反恐委员会
1406,反攻
1407,反攻大陆
1408,反政府
1409,反日
1410,反社会
1411,反社會
1412,反腐敗論壇
1413,反腐败论坛
1414,反雷达测速
1415,反革命
1416,发仑
1417,发伦
1418,发伦功
1419,发伦工
1420,发囵
1421,发展与改革委员会
1422,发展和改革委员会
1423,发情
1424,发愣
1425,发抡
1426,发抡功
1427,发改委
1428,发正念
1429,发沦
1430,发浪
1431,发票
1432,发论
1433,发论公
1434,发论功
1435,发财二码
1436,发轮
1437,发轮功
1438,发骚
1439,受虐狂
1440,变态
1441,口交
1442,口头检查
1443,口技
1444,口活
1445,口淫
1446,口鉸
1447,古怪歌
1448,古方迷香
1449,古柯碱
1450,古龍祭壇
1451,叫小姐
1452,叫床
1453,叫春
1454,叫鸡
1455,可卡叶
1456,可卡因
1457,可待因
1458,台办
1459,台湾
1460,台湾18DY电影
1461,台湾党
1462,台湾共产党
1463,台湾共和国
1464,台湾国
1465,台湾岛国
1466,台湾帝国
1467,台湾建国
1468,台湾建国运动组织
1469,台湾性虎
1470,台湾政府
1471,台湾政论区
1472,台湾民国
1473,台湾狗
1474,台湾独
1475,台湾独立
1476,台湾自治
1477,台湾自由
1478,台湾自由联盟
1479,台湾青年独立联盟
1480,台版温切斯特
1481,台独
1482,台独万岁
1483,台独分子
1484,台獨
1485,台盟
1486,台联
1487,史萊姆
1488,史萊姆王
1489,右派
1490,叶倩彤
1491,叶兵
1492,叶子楣
1493,号码定位
1494,号码百事通
1495,司徒华
1496,司徒華
1497,司法警官
1498,司法部
1499,司馬晋
1500,司馬璐
1501,司马晋
1502,司马璐
1503,叼你
1504,叼你妈
1505,叼你媽
1506,吃大便
1507,吃屎
1508,吃角子老虎
1509,各式气/枪
1510,各种ZJ
1511,各种枪
1512,各种炸药配方大全
1513,合彩
1514,合彩开奖
1515,合采开奖
1516,吉跋猫
1517,同志服务
1518,同性恋吧
1519,同性服务
1520,同房
1521,同淫
1522,后庭
1523,后面插
1524,吐血
1525,吕京花
1526,吕秀莲
1527,吗啡
1528,吗啡上瘾
1529,吗啡片
1530,吗啡碱
1531,吗的
1532,吟稻雁
1533,含鸡鸡
1534,听器
1535,吳仁華
1536,吳學燦
1537,吳學璨
1538,吳宏達
1539,吳弘達
1540,吳志芳
1541,吳敦義
1542,吳方城
1543,吳淑珍
1544,吳百益
1545,吳育升
1546,吳邦國
1547,吴　仪
1548,吴仁华
1549,吴学灿
1550,吴学璨
1551,吴宏达
1552,吴官正
1553,吴弘达
1554,吴方城
1555,吴百益
1556,吴邦国
1557,吸储
1558,吸儲
1559,吸收的圖騰
1560,吸毒
1561,吸精
1562,吸舔
1563,吸血獸
1564,吸食
1565,吸鸟
1566,吹喇叭
1567,吹气娃娃
1568,吹箫
1569,吹簫
1570,吹萧
1571,吾尔开希
1572,呂京花
1573,呂秀蓮
1574,呆卵
1575,周天法
1576,周守訓 
1577,周容重
1578,周总理
1579,周恩來
1580,周旋
